GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
6986,600,salvationarmyusa.org,org,9403,13461,salvationarmyusa.org,org,6935,595,9440,13525
6999,142,konami.jp,jp,9392,13566,konami.jp,jp,6990,142,9406,13576
7135,3664,michaeljackson.com,com,9296,12222,michaeljackson.com,com,7102,3649,9326,12270
7601,3894,snapchat.com,com,8992,12386,snapchat.com,com,7642,3921,8967,12399
7653,3922,lacoste.com,com,8959,11796,lacoste.com,com,7630,3912,8979,11819
7734,3966,nestle.com,com,8913,11449,nestle.com,com,7681,3943,8945,11481
7890,4048,armani.com,com,8813,12018,armani.com,com,7851,4023,8845,12048
7928,179,brunel.ac.uk,uk,8793,10929,brunel.ac.uk,uk,7938,179,8796,10950
7944,4077,sonymusic.com,com,8781,11373,sonymusic.com,com,7921,4060,8805,11391
8013,4117,linuxtoday.com,com,8743,11056,linuxtoday.com,com,7980,4100,8767,11082
8180,14,liverpoolfc.tv,tv,8645,11288,liverpoolfc.tv,tv,8146,14,8663,11300
8357,4299,smosh.com,com,8564,11652,smosh.com,com,8467,4358,8512,11578
8399,191,ticketmaster.co.uk,uk,8540,12313,ticketmaster.co.uk,uk,8315,189,8580,12333
8448,4348,chipotle.com,com,8516,12101,chipotle.com,com,8425,4337,8530,12130
8465,119,government.ru,ru,8508,15021,government.ru,ru,8480,119,8504,15033
8712,4479,appstore.com,com,8401,10941,appstore.com,com,8603,4427,8449,10979
8782,4513,coldplay.com,com,8368,11200,coldplay.com,com,8758,4508,8380,11224
8944,4603,runescape.com,com,8298,10980,runescape.com,com,8885,4581,8325,10997
9445,4867,stubhub.com,com,8101,11214,stubhub.com,com,9395,4845,8117,11275
